"Herb names (Chinese, English)",MOL_ID,MV,ALOGP,HDON,HACC,OB,CACO2,BBB,DL,FASA,HL,OB value,Caco2 value,DL value,HL value,Total
ÄÏÉßÌÙ¹û£¨Stem of Oriental Bittersweet£©,MOL003494,500.59,3.18,0,9,30.58,0.27,-0.27,0.84,0.26,-22.62,TRUE,TRUE,TRUE,FALSE,FALSE
ÌìÄÏÐÇ(Jackinthepulpit Tuber),MOL013132,137.25,2.71,0,0,61.24,1.85,2.04,0.02,0.1,-14.34,TRUE,TRUE,FALSE,FALSE,FALSE
ÎâÜïÝÇ(Medicinal Evodia Fruit),MOL013352,454.56,2.68,0,7,43.29,0.01,-0.43,0.77,0.31,-13.04,TRUE,TRUE,TRUE,FALSE,FALSE
»ÆÁ¬(Golden Thread),MOL013352,454.56,2.68,0,7,43.29,0.01,-0.43,0.77,0.31,-13.04,TRUE,TRUE,TRUE,FALSE,FALSE
ÏãéÚ(Citron Fruit),MOL013352,454.56,2.68,0,7,43.29,0.01,-0.43,0.77,0.31,-13.04,TRUE,TRUE,TRUE,FALSE,FALSE
éÙºì(Pummelo Peel),MOL013352,454.56,2.68,0,7,43.29,0.01,-0.43,0.77,0.31,-13.04,TRUE,TRUE,TRUE,FALSE,FALSE
»Æ°Ø(Amur CorkTree),MOL013352,454.56,2.68,0,7,43.29,0.01,-0.43,0.77,0.31,-13.04,TRUE,TRUE,TRUE,FALSE,FALSE
è×Êµ(Immature Orange Fruit),MOL013352,454.56,2.68,0,7,43.29,0.01,-0.43,0.77,0.31,-13.04,TRUE,TRUE,TRUE,FALSE,FALSE
°×ÏÊÆ¤(DenseFruit Pittany RootBark),MOL013352,454.56,2.68,0,7,43.29,0.01,-0.43,0.77,0.31,-13.04,TRUE,TRUE,TRUE,FALSE,FALSE
Âû¾£×Ó(Shrub Chastetree Fruit),MOL011929,360.54,4.02,1,4,63.84,0.77,0.55,0.35,0.2,-12.62,TRUE,TRUE,TRUE,FALSE,FALSE
ÂúÉ½ºì(Dahurian Rhododendron Leaf),MOL012449,174.31,4.29,0,0,45.93,1.89,2.13,0.06,0.3,-12.54,TRUE,TRUE,FALSE,FALSE,FALSE
°×ÏÊÆ¤(DenseFruit Pittany RootBark),MOL006262,498.62,3.1,0,8,36.08,0.02,-0.6,0.71,0.29,-11.88,TRUE,TRUE,TRUE,FALSE,FALSE
»ÆÒ©×Ó(Air Potato)(Air Potato),MOL009783,506.59,3.81,0,8,37.93,0.38,-0.36,0.86,0.29,-11.77,TRUE,TRUE,TRUE,FALSE,FALSE
¿àé¬Æ¤£¨Sichuan Chinaberry Bark,MOL010650,482.62,3.32,0,7,35.43,0.25,-0.15,0.74,0.28,-11.77,TRUE,TRUE,TRUE,FALSE,FALSE
°×ÏÊÆ¤(DenseFruit Pittany RootBark),MOL006244,278.33,1.38,2,5,49.09,-0.06,-0.4,0.19,0.27,-11.68,TRUE,TRUE,TRUE,FALSE,FALSE
½ð¹ûÀ¿£¨Tinospora Root£©,MOL006449,520.58,0.1,4,11,30.06,-0.92,-1.4,0.8,0.25,-11.43,TRUE,FALSE,TRUE,FALSE,FALSE
×Ï²Ý(Arnebia Root)(Arnebia Root),MOL007734,316.38,2.28,0,5,61.8,0.92,0.32,0.24,0.19,-11.11,TRUE,TRUE,TRUE,FALSE,FALSE
´¨Üº(Sichuan Lovage Rhizome),MOL002174,184.36,3.64,0,1,66.87,1.56,1.84,0.05,0.24,-11.1,TRUE,TRUE,FALSE,FALSE,FALSE
°×ÏÊÆ¤(DenseFruit Pittany RootBark),MOL006257,278.33,1.53,2,5,69.27,0.21,0.06,0.19,0.27,-11.1,TRUE,TRUE,TRUE,FALSE,FALSE
½ð¹ûÀ¿£¨Tinospora Root£©,MOL006448,358.42,1.85,1,6,91,0.06,-0.22,0.6,0.31,-11.09,TRUE,TRUE,TRUE,FALSE,FALSE
½ð¹ûÀ¿£¨Tinospora Root£©,MOL006450,358.42,1.85,1,6,85.68,0.07,-0.23,0.6,0.3,-10.9,TRUE,TRUE,TRUE,FALSE,FALSE
»ÆÒ©×Ó(Air Potato),MOL009794,418.53,2.1,1,7,55.62,-0.02,-0.51,0.7,0.25,-10.73,TRUE,TRUE,TRUE,FALSE,FALSE
èÛè½×Ó£¨Barbary Wolfberry Fruit£©£¨Barbary Wolfberry Fruit£©,MOL003501,166.34,4.29,0,0,46.93,1.77,2.07,0.05,0.17,-10.61,TRUE,TRUE,FALSE,FALSE,FALSE
ÄÏÉßÌÙ¹û£¨Stem of Oriental Bittersweet£©,MOL003501,166.34,4.29,0,0,46.93,1.77,2.07,0.05,0.17,-10.61,TRUE,TRUE,FALSE,FALSE,FALSE
