,name,MOL_ID,MV,ALOGP,HDON,HACC,OB,CACO2,BBB,DL,FASA,HL,OBÖµ,Caco2Öµ,DLÖµ,HLÖµ,»ã×Ü
20249,ÄÏÉßÌÙ¹û,MOL003494,500.59,3.18,0,9,30.58,0.27,-0.27,0.84,0.26,-22.62,TRUE,TRUE,TRUE,FALSE,TRUE
26622,ÌìÄÏÐÇ,MOL013132,137.25,2.71,0,0,61.24,1.85,2.04,0.02,0.1,-14.34,TRUE,TRUE,FALSE,FALSE,TRUE
27602,ÎâÜïÝÇ,MOL013352,454.56,2.68,0,7,43.29,0.01,-0.43,0.77,0.31,-13.04,TRUE,TRUE,TRUE,FALSE,TRUE
12039,»ÆÁ¬,MOL013352,454.56,2.68,0,7,43.29,0.01,-0.43,0.77,0.31,-13.04,TRUE,TRUE,TRUE,FALSE,TRUE
28917,ÏãéÚ,MOL013352,454.56,2.68,0,7,43.29,0.01,-0.43,0.77,0.31,-13.04,TRUE,TRUE,TRUE,FALSE,TRUE
14664,éÙºì,MOL013352,454.56,2.68,0,7,43.29,0.01,-0.43,0.77,0.31,-13.04,TRUE,TRUE,TRUE,FALSE,TRUE
11861,»Æ°Ø,MOL013352,454.56,2.68,0,7,43.29,0.01,-0.43,0.77,0.31,-13.04,TRUE,TRUE,TRUE,FALSE,TRUE
32343,è×Êµ,MOL013352,454.56,2.68,0,7,43.29,0.01,-0.43,0.77,0.31,-13.04,TRUE,TRUE,TRUE,FALSE,TRUE
1459,°×ÏÊÆ¤,MOL013352,454.56,2.68,0,7,43.29,0.01,-0.43,0.77,0.31,-13.04,TRUE,TRUE,TRUE,FALSE,TRUE
18595,Âû¾£×Ó,MOL011929,360.54,4.02,1,4,63.84,0.77,0.55,0.35,0.2,-12.62,TRUE,TRUE,TRUE,FALSE,TRUE
18455,ÂúÉ½ºì,MOL012449,174.31,4.29,0,0,45.93,1.89,2.13,0.06,0.3,-12.54,TRUE,TRUE,FALSE,FALSE,TRUE
1456,°×ÏÊÆ¤,MOL006262,498.62,3.1,0,8,36.08,0.02,-0.6,0.71,0.29,-11.88,TRUE,TRUE,TRUE,FALSE,TRUE
12352,»ÆÒ©×Ó,MOL009783,506.59,3.81,0,8,37.93,0.38,-0.36,0.86,0.29,-11.77,TRUE,TRUE,TRUE,FALSE,TRUE
15041,¿àé¬Æ¤,MOL010650,482.62,3.32,0,7,35.43,0.25,-0.15,0.74,0.28,-11.77,TRUE,TRUE,TRUE,FALSE,TRUE
1438,°×ÏÊÆ¤,MOL006244,278.33,1.38,2,5,49.09,-0.06,-0.4,0.19,0.27,-11.68,TRUE,TRUE,TRUE,FALSE,TRUE
13289,½ð¹ûÀ¿,MOL006449,520.58,0.1,4,11,30.06,-0.92,-1.4,0.8,0.25,-11.43,TRUE,FALSE,TRUE,FALSE,TRUE
32614,×Ï²Ý,MOL007734,316.38,2.28,0,5,61.8,0.92,0.32,0.24,0.19,-11.11,TRUE,TRUE,TRUE,FALSE,TRUE
4958,´¨Üº,MOL002174,184.36,3.64,0,1,66.87,1.56,1.84,0.05,0.24,-11.1,TRUE,TRUE,FALSE,FALSE,TRUE
1451,°×ÏÊÆ¤,MOL006257,278.33,1.53,2,5,69.27,0.21,0.06,0.19,0.27,-11.1,TRUE,TRUE,TRUE,FALSE,TRUE
13288,½ð¹ûÀ¿,MOL006448,358.42,1.85,1,6,91,0.06,-0.22,0.6,0.31,-11.09,TRUE,TRUE,TRUE,FALSE,TRUE
