,0,1,2,3,4,5,6,7,8,9,10
桑叶,桑叶,板蓝根,薄荷,金银花,冰片,败酱草,大青叶,泽泻,青蒿,知母,连翘
沙棘,草果,红景天,虎杖,甘草,北沙参,陈皮,苦杏仁,紫菀,枳实,木香,款冬花
红花,红花,荜茇,附子,木香,苏合香,赤芍,当归,安息香,檀香,乳香,香附
前胡,败酱草,苏合香,厚朴,紫菀,牛黄,款冬花,苦杏仁,葶苈子,半夏,虎杖,甘草
麻黄,麻黄,生姜,紫苏,白芷,桂枝,细辛,广藿香,猪苓,葶苈子,苍术,草果
紫苏,紫苏,生姜,麻黄,败酱草,橘红,虎杖,甘草,檀香,苦杏仁,紫菀,枳实
满山红,北沙参,苦杏仁,款冬花,紫菀,葶苈子,紫苏,虎杖,甘草,败酱草,橘红,红景天
高良姜,木香,檀香,吴茱萸,草果,荜茇,附子,红花,香附,白芷,生姜,桂枝
葛花,贯众,黄芩,薏苡仁,甘草,金银花,茯苓,白术,山药,败酱草,大青叶,连翘
砂仁,陈皮,大腹皮,白术,茯苓,橘红,檀香,猪苓,木香,槟榔,香附,乳香
蒺藜,川芎,香附,苍术,郁金,红景天,大腹皮,赤芍,安息香,桑叶,柴胡,当归
两面针,川芎,安息香,香附,乳香,郁金,大腹皮,木香,檀香,当归,红花,苏合香
相思子,金银花,鱼腥草,败酱草,连翘,大青叶,黄芪,牛黄,白茅根,板蓝根,贯众,黄连
络石藤,丹参,大青叶,泽泻,苏合香,板蓝根,白茅根,赤芍,鱼腥草,黄连,苍术,贯众
菊苣,木香,香附,草果,山药,白术,茯苓,陈皮,柴胡,檀香,人参,枳实
知母,知母,石膏,芦根,玄参,西洋参,黄芩,黄连,栀子,金银花,冰片,败酱草
小蓟,贯众,大青叶,丹参,马鞭草,白茅根,赤芍,板蓝根,鱼腥草,黄连,黄芩,大黄
龙胆,栀子,黄连,黄芩,知母,青蒿,泽泻,冰片,广藿香,石膏,猪苓,鱼腥草
平贝母,北沙参,款冬花,败酱草,虎杖,甘草,西洋参,紫菀,南沙参,牛黄,苦杏仁,葶苈子
旋覆花,半夏,厚朴,苦杏仁,紫菀,款冬花,葶苈子,吴茱萸,芦根,败酱草,荜茇,橘红
山茱萸,青蒿,山药,桑叶,吴茱萸,诃子,槟榔,薏苡仁,草果,厚朴,黄芪,牛黄
月季花,香附,川芎,郁金,丹参,马鞭草,虎杖,红景天,大腹皮,赤芍,安息香,当归
银杏叶,红景天,丹参,虎杖,安息香,红花,赤芍,当归,诃子,乳香,香附,川芎
金银花,金银花,败酱草,大青叶,连翘,牛黄,板蓝根,贯众,黄连,鱼腥草,栀子,黄芩
连翘,连翘,金银花,玄参,大黄,败酱草,大青叶,冰片,板蓝根,牛黄,黄连,鱼腥草
菊花,桑叶,金银花,败酱草,大青叶,连翘,冰片,牛黄,板蓝根,黄连,栀子,苍术
黄药子,贯众,黄连,葶苈子,黄芩,玄参,半夏,大黄,薏苡仁,大青叶,橘红,败酱草
菝葜,黄连,鱼腥草,薏苡仁,泽泻,大青叶,猪苓,板蓝根,栀子,贯众,黄芩,苍术
款冬花,款冬花,北沙参,苦杏仁,紫菀,葶苈子,南沙参,厚朴,半夏,紫苏,虎杖,甘草
土茯苓,薏苡仁,猪苓,黄芩,栀子,黄连,鱼腥草,大黄,虎杖,金银花,冰片,白术
