中文名,英文名,,
桑叶,Folium Mori,,
蒺藜,Fructus Tribuli,,
山茱萸,Common Macrocarpium Fruit,,
红花,Carthami Flos,,
金盏菊花,Calendula officinalis,,
连翘,Forsythiae Fructus,,
板蓝根,Indigowoad Root,,
络石藤,Caulis Trachelospermi,,
青黛,Indigo Naturalis,,
黄柏,Amur Corktree Bark,,
银杏叶,Ginkgo Folium,,
白及,Bletilla Striata,,
百部,Stemonae Radix,,
贯叶金丝桃,Hyperici Perforati Herba,,
赤小豆,Vigna umbellata,,
沙棘,Hippophae Fructus,,
两面针,Zanthoxyli Radix,,
月季花,Modern Rose,,
前胡,Peucedani Radix,,
小蓟,Common Cephalanoplos Herb,,
相思子,Coralhead Plant Seed,,
苦参,Sophorae Flavescentis Radix,,
大腹皮,Arecae Pericarpium,,
白茅根,Imperatae Rhizoma ,,
金果揽,Radix Tinosporae,,
苦楝皮,Meliae Cortex,,
地耳草,Herba Hyperici Japonici,,
马钱子,Strychni Semen,,
青叶胆,Swertiae Mileensis Herba,,
丹参,Salviae Miltiorrhizae,,
白屈菜,Greater Calandine Herb,,
麻黄根,Ephedrae Herba,,
苦丁茶,Leaf of Chinese Holly,,
草乌叶,Aconiti Kusnezoffii Folium,,
金银花,Honeysuckle Flower,,
马勃,Lasiosphaera,,
连钱草,Herba Glechomae,,
菝葜,Smilacis Chinae Rhizoma,,
墨旱莲,Ecliptae Herba,,
雷丸,Omphalia,,
大蒜,Garlic,,
木通,Akebia Stem,,
夏天无,Rhizome of Decumbent Corydalis,,
麻黄,Herbal Ephedra,,
菊苣,Chicory Herb,,
满山红,Rhododendri Daurici Folium,,
金沸草,Inulae Herba,,
大黄,Rhubarb,,
黄连,Coptis Root,,
葛花,Flower of Lobed Kudzuvine,,
黄药子,Rhizoma Dioscoreae Bulbiferae,,
菊花,Flos Chrysanthemi,,
白毛藤,Herba Solani Lyrati,,
白薇,Cynanchi Atrati Radix Et Rhizoma,,
侧柏叶,Platycladi Cacumen,,
猪苓,Polyporus,,
紫苏,Perilla,,
知母,Anemarrhenae Rhizoma,,
高良姜,Lesser Galangal Rhizome,,
龙葵,Black Nightshade Herb,,
鼠曲草,Herba Gnathali Affinis,,
薤白,Allii Macrostemonis Bulbus,,
洋金花,Flos Daturae,,
土茯苓,Smilacis Glabrae Rhizoma,,
华山参,Radix Physochlainae ,,
凤眼草,Fruit of Tree-of-heaven Ailanthus,,
白果,Ginkgo Seed,,
天花粉,Radix Trichosanthis,,
郁金,Curcumae Radix,,
浙贝母,Bulb of Thunberg Fritillary,,
茄根,Root of Garden Eggplant,,
路路通,Beartiful Sweetgum Fruit,,
甘草,Glycyrrhiza,,
北豆根,Menispermi Rhizoma,,
龙胆,Radix Gentianae,,
佩兰,Eupatorii Herba,,
鸡屎藤,Chinese Fevervine Herb,,
大枣,Fructus Jujubae ,,
木香,Aucklandiae Radix,,
鸭跖草,Commelinae Herba,,
绿豆,Mung Bean,,
金樱子,Fructus Rosae Laevigatae,,
羌活,Notopterygii Rhizoma Et Radix,,
玉米须,Stigma Maydis,,
京大戟,Euphorbiae Pekinensis Radix,,
香加皮,Cortex Periplocae,,
青蒿,Artemisiae Annuae Herba,,
酸枣仁,Spina Date Seed,,
平贝母,Ussuriensis Fritillary Bulb,,
款冬花,Farfarae Flos,,
拳参,Bistortae Rhizoma,,
牛膝,Achyranthes Bidentata,,
天冬,Asparagi Radix,,
桔梗,Platycodonis Radix,,
萱草根,Daylily Root,,
海桐皮,Cortex Erythrinae Seu Kalopanacis,,
柿蒂,Kaki Calyx,,
川贝母,Fritillariae Cirrhosae Bulbus,,
